id,michael,chengfang
293,15.254792,172.0365
294,15.254475,181.6487
295,15.25101,194.9307
296,15.250969,168.1605
297,15.245779,159.3367
298,15.243244,171.2171
299,15.23062,198.4995
300,15.230315,278.1516
301,15.230168,179.8647
302,15.228724,200.7189
303,15.228662,185.2746
304,15.227229,194.749
305,15.227102,261.0279
306,15.226081,169.2904
307,15.223429,182.0474
308,15.222023,205.4918
309,15.221008,156.661
310,15.218415,194.3368
311,15.214968,174.6369
312,15.213225,197.4294
313,15.21318,323.7023
314,15.211234,200.9069
315,15.211097,203.33
316,15.209012,188.1146
317,15.205429,176.2072
318,15.205393,164.9733
319,15.203562,185.8825
320,15.198747,153.872
321,15.198227,202.5154
322,15.1977,151.1713
323,15.195868,186.7016
324,15.195601,251.744
325,15.194166,209.6224
326,15.191401,199.7924
327,15.190558,192.8688
328,15.190461,163.3555
329,15.189953,223.2636
330,15.189255,177.6782
331,15.189057,222.3134
332,15.186604,185.8611
333,15.186222,181.4692
334,15.182089,205.8034
335,15.181902,180.1998
336,15.181619,293.405
337,15.167562,182.7634
338,15.163341,181.6641
339,15.163251,176.6061
340,15.160195,224.4473
341,15.157895,215.398
342,15.156174,231.35
343,15.155726,198.5515
344,15.15125,210.1125
345,15.150038,232.9031
346,15.149449,238.3199
347,15.149328,171.5945
348,15.149238,187.6682
349,15.148916,193.3032
350,15.14873,203.5094
351,15.148419,163.7328
352,15.147236,186.2124
353,15.147012,205.1523
354,15.145544,196.8817
355,15.145175,197.3264
356,15.145157,218.5037
357,15.142275,202.8491
358,15.14193,192.0262
359,15.139699,173.482
360,15.138311,190.4592
361,15.138182,230.145
362,15.135663,207.892
363,15.134399,160.0435
364,15.133048,215.338
365,15.13001,181.7734
366,15.127126,211.2884
367,15.124899,205.48
368,15.122569,221.4391
369,15.12077,169.5405
370,15.12007,182.7355
371,15.115474,175.9449
372,15.110086,164.4839
373,15.109761,216.3588
374,15.109047,228.6841
375,15.107592,199.7287
376,15.102922,170.2338
377,15.102168,237.9874
378,15.100195,204.8504
379,15.096233,160.5692
380,15.092082,177.473
381,15.088211,197.7482
382,15.088113,152.1548
383,15.088096,197.8257
384,15.086958,201.0969
385,15.085447,201.894
386,15.082325,189.0463
387,15.079585,172.8875
388,15.073341,190.3677
389,15.071609,218.5437
390,15.070144,227.6155
391,15.067094,208.0821
392,15.063666,233.9155
393,15.061626,168.6656
394,15.061258,184.3355
395,15.060175,239.2754
396,15.059362,163.9761
397,15.058632,197.115
398,15.052038,208.7945
399,15.050738,134.0121
400,15.050233,189.0817
401,15.048824,168.1101
402,15.047974,159.9913
403,15.047252,153.7644
404,15.046976,170.1369
405,15.046346,189.9686
406,15.045059,249.3598
407,15.037239,233.4902
408,15.036133,203.7548
409,15.03603,165.9221
410,15.034463,217.2392
411,15.033597,183.6504
412,15.032362,187.3849
413,15.031289,175.6004
414,15.030599,184.2104
415,15.029867,163.9405
416,15.028741,184.5545
417,15.02518,193.1891
418,15.0236,187.4521
419,15.019981,207.5089
420,15.018609,229.711
421,15.016945,195.73
422,15.01685,187.7113
423,15.016829,206.9476
424,15.016742,212.1568
425,15.015059,221.2471
426,15.012676,163.3973
427,15.01214,169.5823
428,15.00978,182.8161
429,15.009249,169.7114
430,15.009104,188.4339
431,15.008003,237.9481
432,15.004202,223.6917
433,14.998711,144.5379
434,14.996929,217.5096
435,14.996652,154.6067
436,14.993977,268.1579
437,14.992335,164.7607
438,14.991285,200.4531
439,14.990519,216.5585
440,14.989156,245.4289
441,14.988242,187.4379
442,14.987279,181.1981
443,14.986964,252.0004
444,14.98691,194.783
445,14.985694,185.4263
446,14.983246,207.7319
447,14.978536,232.1988
448,14.972914,219.1525
449,14.972021,193.9848
450,14.965849,171.6309
451,14.963106,211.7881
452,14.956793,287.9687
453,14.956527,158.1644
454,14.955188,201.5415
455,14.953764,179.33
456,14.952143,179.9579
457,14.951935,177.4974
458,14.94939,251.157
459,14.948909,209.4354
460,14.946117,196.1373
461,14.945188,164.4262
462,14.943577,193.1804
463,14.943125,183.6578
464,14.941765,225.1404
465,14.940045,191.2799
466,14.938412,180.4429
467,14.937326,166.024
468,14.936822,189.5401
469,14.935835,236.2446
470,14.935677,208.6219
471,14.934493,218.8324
472,14.933715,186.3587
473,14.928381,202.6708
474,14.927944,245.9177
475,14.927694,275.4201
476,14.926763,216.095
477,14.926051,210.3183
478,14.921175,237.2495
479,14.919665,194.7835
480,14.916252,204.8535
481,14.914431,157.4692
482,14.912226,181.5121
483,14.908993,236.0965
484,14.907573,180.3123
485,14.90428,168.9862
486,14.902426,181.1115
487,14.899639,199.5309
488,14.898437,170.9183
489,14.896026,175.0048
490,14.894767,216.988
491,14.891929,180.6728
492,14.891775,194.6151
493,14.89167,203.405
494,14.891292,194.9419
495,14.889755,184.9938
496,14.886942,189.933
497,14.885837,166.8475
498,14.88398,194.5086
499,14.881809,165.8772
500,14.881653,175.2728
